date,old_date,callrate,old_callrate,updown
2019-07-15,2019-06-15,1.73,1.74,down
2019-07-12,2019-06-12,1.74,1.75,down
2019-07-11,2019-06-11,1.75,1.75,neutrality
2019-07-10,2019-06-10,1.74,1.75,down
2019-07-09,2019-06-09,1.69,1.75,down
2019-07-08,2019-06-08,1.73,1.77,down
2019-07-05,2019-06-05,1.73,1.73,neutrality
2019-07-04,2019-06-04,1.73,1.75,down
2019-07-03,2019-06-03,1.73,1.77,down
2019-07-02,2019-06-02,1.73,1.75,down
2019-07-01,2019-06-01,1.75,1.79,down
2019-06-28,2019-05-29,1.83,1.75,up
2019-06-27,2019-05-28,1.77,1.75,up
2019-06-26,2019-05-27,1.76,1.75,up
2019-06-25,2019-05-26,1.75,1.73,up
2019-06-24,2019-05-25,1.75,1.73,up
2019-06-21,2019-05-22,1.74,1.73,up
2019-06-20,2019-05-21,1.75,1.73,up
2019-06-19,2019-05-20,1.76,1.76,neutrality
2019-06-18,2019-05-19,1.75,1.73,up
2019-06-17,2019-05-18,1.76,1.74,up
2019-06-14,2019-05-15,1.74,1.76,down
2019-06-13,2019-05-14,1.75,1.73,up
2019-06-12,2019-05-13,1.75,1.75,neutrality
2019-06-11,2019-05-12,1.75,1.73,up
2019-06-10,2019-05-11,1.75,1.74,up
2019-06-07,2019-05-08,1.77,1.73,up
2019-06-05,2019-05-06,1.73,1.73,neutrality
2019-06-04,2019-05-05,1.75,1.79,down
2019-06-03,2019-05-04,1.77,1.74,up
2019-05-31,2019-05-01,1.79,1.79,neutrality
2019-05-30,2019-04-30,1.76,1.79,down
2019-05-29,2019-04-29,1.75,1.73,up
2019-05-28,2019-04-28,1.75,1.75,neutrality
2019-05-27,2019-04-27,1.75,1.73,up
2019-05-24,2019-04-24,1.73,1.73,neutrality
2019-05-23,2019-04-23,1.74,1.75,down
2019-05-22,2019-04-22,1.73,1.74,down
2019-05-21,2019-04-21,1.73,1.76,down
2019-05-20,2019-04-20,1.76,1.75,up
2019-05-17,2019-04-17,1.74,1.73,up
2019-05-16,2019-04-16,1.75,1.76,down
2019-05-15,2019-04-15,1.76,1.77,down
2019-05-14,2019-04-14,1.73,1.77,down
2019-05-13,2019-04-13,1.75,1.76,down
2019-05-10,2019-04-10,1.74,1.75,down
2019-05-09,2019-04-09,1.73,1.77,down
2019-05-08,2019-04-08,1.73,1.76,down
2019-05-07,2019-04-07,1.73,1.75,down
2019-05-03,2019-04-03,1.74,1.7,up
2019-05-02,2019-04-02,1.75,1.75,neutrality
2019-04-30,2019-03-31,1.79,1.77,up
2019-04-29,2019-03-30,1.73,1.81,down
2019-04-26,2019-03-27,1.73,1.74,down
2019-04-25,2019-03-26,1.73,1.77,down
2019-04-24,2019-03-25,1.73,1.75,down
2019-04-23,2019-03-24,1.75,1.74,up
2019-04-22,2019-03-23,1.74,1.75,down
2019-04-19,2019-03-20,1.75,1.74,up
2019-04-18,2019-03-19,1.72,1.74,down
2019-04-17,2019-03-18,1.73,1.76,down
2019-04-16,2019-03-17,1.76,1.76,neutrality
2019-04-15,2019-03-16,1.77,1.73,up
2019-04-12,2019-03-13,1.76,1.78,down
2019-04-11,2019-03-12,1.78,1.76,up
2019-04-10,2019-03-11,1.75,1.77,down
2019-04-09,2019-03-10,1.77,1.77,neutrality
2019-04-08,2019-03-09,1.76,1.78,down
2019-04-05,2019-03-06,1.75,1.75,neutrality
2019-04-04,2019-03-05,1.72,1.77,down
2019-04-03,2019-03-04,1.7,1.76,down
2019-04-02,2019-03-03,1.75,1.76,down
2019-04-01,2019-03-02,1.75,1.77,down
2019-03-29,2019-02-27,1.81,1.77,up
2019-03-28,2019-02-26,1.76,1.76,neutrality
2019-03-27,2019-02-25,1.74,1.77,down
2019-03-26,2019-02-24,1.77,1.76,up
2019-03-25,2019-02-23,1.75,1.76,down
2019-03-22,2019-02-20,1.75,1.75,neutrality
2019-03-21,2019-02-19,1.74,1.76,down
2019-03-20,2019-02-18,1.74,1.78,down
2019-03-19,2019-02-17,1.74,1.75,down
2019-03-18,2019-02-16,1.76,1.77,down
2019-03-15,2019-02-13,1.73,1.74,down
2019-03-14,2019-02-12,1.75,1.75,neutrality
2019-03-13,2019-02-11,1.78,1.74,up
2019-03-12,2019-02-10,1.76,1.81,down
2019-03-11,2019-02-09,1.77,1.75,up
2019-03-08,2019-02-06,1.78,1.74,up
2019-03-07,2019-02-05,1.76,1.81,down
