,date,old_date,callrate,old_callrate,updown
0,2019-07-15,2019-06-15,1.73,1.74,down
1,2019-07-14,2019-06-15,1.73,1.74,down
2,2019-07-13,2019-06-15,1.73,1.74,down
3,2019-07-12,2019-06-12,1.74,1.75,down
4,2019-07-11,2019-06-11,1.75,1.75,neutrality
5,2019-07-10,2019-06-10,1.74,1.75,down
6,2019-07-09,2019-06-09,1.69,1.75,down
7,2019-07-08,2019-06-08,1.73,1.77,down
8,2019-07-07,2019-06-08,1.73,1.77,down
9,2019-07-06,2019-06-08,1.73,1.77,down
10,2019-07-05,2019-06-05,1.73,1.73,neutrality
11,2019-07-04,2019-06-04,1.73,1.75,down
12,2019-07-03,2019-06-03,1.73,1.77,down
13,2019-07-02,2019-06-02,1.73,1.75,down
14,2019-07-01,2019-06-01,1.75,1.79,down
15,2019-06-30,2019-06-01,1.75,1.79,down
16,2019-06-29,2019-06-01,1.75,1.79,down
17,2019-06-28,2019-05-29,1.83,1.75,up
18,2019-06-27,2019-05-28,1.77,1.75,up
19,2019-06-26,2019-05-27,1.76,1.75,up
20,2019-06-25,2019-05-26,1.75,1.73,up
21,2019-06-24,2019-05-25,1.75,1.73,up
22,2019-06-23,2019-05-25,1.75,1.73,up
23,2019-06-22,2019-05-25,1.75,1.73,up
24,2019-06-21,2019-05-22,1.74,1.73,up
25,2019-06-20,2019-05-21,1.75,1.73,up
26,2019-06-19,2019-05-20,1.76,1.76,neutrality
27,2019-06-18,2019-05-19,1.75,1.73,up
28,2019-06-17,2019-05-18,1.76,1.74,up
29,2019-06-16,2019-05-18,1.76,1.74,up
30,2019-06-15,2019-05-18,1.76,1.74,up
31,2019-06-14,2019-05-15,1.74,1.76,down
32,2019-06-13,2019-05-14,1.75,1.73,up
33,2019-06-12,2019-05-13,1.75,1.75,neutrality
34,2019-06-11,2019-05-12,1.75,1.73,up
35,2019-06-10,2019-05-11,1.75,1.74,up
36,2019-06-09,2019-05-11,1.75,1.74,up
37,2019-06-08,2019-05-11,1.75,1.74,up
38,2019-06-07,2019-05-08,1.77,1.73,up
39,2019-06-06,2019-05-08,1.77,1.73,up
40,2019-06-05,2019-05-06,1.73,1.73,neutrality
41,2019-06-04,2019-05-05,1.75,1.79,down
42,2019-06-03,2019-05-04,1.77,1.74,up
43,2019-06-02,2019-05-04,1.77,1.74,up
44,2019-06-01,2019-05-04,1.77,1.74,up
45,2019-05-31,2019-05-01,1.79,1.79,neutrality
46,2019-05-30,2019-04-30,1.76,1.79,down
47,2019-05-29,2019-04-29,1.75,1.73,up
48,2019-05-28,2019-04-28,1.75,1.75,neutrality
49,2019-05-27,2019-04-27,1.75,1.73,up
50,2019-05-26,2019-04-27,1.75,1.73,up
51,2019-05-25,2019-04-27,1.75,1.73,up
52,2019-05-24,2019-04-24,1.73,1.73,neutrality
53,2019-05-23,2019-04-23,1.74,1.75,down
54,2019-05-22,2019-04-22,1.73,1.74,down
55,2019-05-21,2019-04-21,1.73,1.76,down
56,2019-05-20,2019-04-20,1.76,1.75,up
57,2019-05-19,2019-04-20,1.76,1.75,up
58,2019-05-18,2019-04-20,1.76,1.75,up
59,2019-05-17,2019-04-17,1.74,1.73,up
60,2019-05-16,2019-04-16,1.75,1.76,down
61,2019-05-15,2019-04-15,1.76,1.77,down
62,2019-05-14,2019-04-14,1.73,1.77,down
63,2019-05-13,2019-04-13,1.75,1.76,down
64,2019-05-12,2019-04-13,1.75,1.76,down
65,2019-05-11,2019-04-13,1.75,1.76,down
66,2019-05-10,2019-04-10,1.74,1.75,down
67,2019-05-09,2019-04-09,1.73,1.77,down
68,2019-05-08,2019-04-08,1.73,1.76,down
69,2019-05-07,2019-04-07,1.73,1.75,down
70,2019-05-06,2019-04-07,1.73,1.75,down
71,2019-05-05,2019-04-07,1.73,1.75,down
72,2019-05-04,2019-04-07,1.73,1.75,down
73,2019-05-03,2019-04-03,1.74,1.7,up
74,2019-05-02,2019-04-02,1.75,1.75,neutrality
75,2019-05-01,2019-04-02,1.75,1.75,neutrality
76,2019-04-30,2019-03-31,1.79,1.77,up
77,2019-04-29,2019-03-30,1.73,1.81,down
78,2019-04-28,2019-03-30,1.73,1.81,down
79,2019-04-27,2019-03-30,1.73,1.81,down
80,2019-04-26,2019-03-27,1.73,1.74,down
81,2019-04-25,2019-03-26,1.73,1.77,down
82,2019-04-24,2019-03-25,1.73,1.75,down
83,2019-04-23,2019-03-24,1.75,1.74,up
84,2019-04-22,2019-03-23,1.74,1.75,down
85,2019-04-21,2019-03-23,1.74,1.75,down
86,2019-04-20,2019-03-23,1.74,1.75,down
87,2019-04-19,2019-03-20,1.75,1.74,up
88,2019-04-18,2019-03-19,1.72,1.74,down
89,2019-04-17,2019-03-18,1.73,1.76,down
90,2019-04-16,2019-03-17,1.76,1.76,neutrality
91,2019-04-15,2019-03-16,1.77,1.73,up
92,2019-04-14,2019-03-16,1.77,1.73,up
93,2019-04-13,2019-03-16,1.77,1.73,up
94,2019-04-12,2019-03-13,1.76,1.78,down
95,2019-04-11,2019-03-12,1.78,1.76,up
96,2019-04-10,2019-03-11,1.75,1.77,down
97,2019-04-09,2019-03-10,1.77,1.77,neutrality
98,2019-04-08,2019-03-09,1.76,1.78,down
99,2019-04-07,2019-03-09,1.76,1.78,down
100,2019-04-06,2019-03-09,1.76,1.78,down
101,2019-04-05,2019-03-06,1.75,1.75,neutrality
102,2019-04-04,2019-03-05,1.72,1.77,down
103,2019-04-03,2019-03-04,1.7,1.76,down
104,2019-04-02,2019-03-03,1.75,1.76,down
105,2019-04-01,2019-03-02,1.75,1.77,down
106,2019-03-31,2019-03-02,1.75,1.77,down
107,2019-03-30,2019-03-02,1.75,1.77,down
108,2019-03-29,2019-02-27,1.81,1.77,up
109,2019-03-28,2019-02-26,1.76,1.76,neutrality
110,2019-03-27,2019-02-25,1.74,1.77,down
111,2019-03-26,2019-02-24,1.77,1.76,up
112,2019-03-25,2019-02-23,1.75,1.76,down
113,2019-03-24,2019-02-23,1.75,1.76,down
114,2019-03-23,2019-02-23,1.75,1.76,down
115,2019-03-22,2019-02-20,1.75,1.75,neutrality
116,2019-03-21,2019-02-19,1.74,1.76,down
117,2019-03-20,2019-02-18,1.74,1.78,down
118,2019-03-19,2019-02-17,1.74,1.75,down
119,2019-03-18,2019-02-16,1.76,1.77,down
120,2019-03-17,2019-02-16,1.76,1.77,down
121,2019-03-16,2019-02-16,1.76,1.77,down
122,2019-03-15,2019-02-13,1.73,1.74,down
123,2019-03-14,2019-02-12,1.75,1.75,neutrality
124,2019-03-13,2019-02-11,1.78,1.74,up
125,2019-03-12,2019-02-10,1.76,1.81,down
126,2019-03-11,2019-02-09,1.77,1.75,up
